,park_name,census_tract,ct,household,median_income
0,Community Garden Association,"1400000US36061003400,",['1400000US36061003400'],3791,67166.0
1,Each One Teach One,"1400000US36061024200,",['1400000US36061024200'],1471,18275.0
2,Highland Park Childrens Garden,"1400000US36047118000,",['1400000US36047118000'],0,
3,Collyer Brothers Park,"1400000US36061020800,",['1400000US36061020800'],2077,42220.0
4,Estella Diggs Park,"1400000US36005018500,",['1400000US36005018500'],2439,26496.0
5,American Veterans Memorial Pier,"1400000US36047003400,",['1400000US36047003400'],1360,69848.0
6,Harding Park Beautification Project,"1400000US36005000200,",['1400000US36005000200'],1379,72034.0
7,Frontera Park,"1400000US36081051700,",['1400000US36081051700'],706,59412.0
8,Skate Park,"1400000US36061019500,",['1400000US36061019500'],3332,117045.0
9,Yellowstone Park,"1400000US36081074100,",['1400000US36081074100'],1547,69336.0
10,Jackie Robinson Playground,"1400000US36047032500,",['1400000US36047032500'],2481,43245.0
11,Sunset Cove Park,"1400000US36081107201,1400000US36081107202,","['1400000US36081107201', '1400000US36081107202']",838,71667.0
12,P.S. 173,"1400000US36061026300,",['1400000US36061026300'],2881,29308.0
13,P.S. 172,"1400000US36047010100,",['1400000US36047010100'],1508,43779.0
14,Fort Hill Park,"1400000US36085000900,",['1400000US36085000900'],628,52500.0
15,P.S. 176,"1400000US36047019600,",['1400000US36047019600'],1528,48382.0
16,Vernon/throop Av Block Association,"1400000US36047028300,",['1400000US36047028300'],1416,32917.0
17,Samuel Triangle,"1400000US36061021800,",['1400000US36061021800'],2782,47155.0
18,Haffen Park,"1400000US36005035800,",['1400000US36005035800'],2429,64957.0
19,Bethesda Terrace,"1400000US36061014300,",['1400000US36061014300'],0,
20,Hope Garden,"1400000US36061003002,",['1400000US36061003002'],1756,50625.0
21,Green Gems,"1400000US36047119600,",['1400000US36047119600'],1738,32115.0
22,Beanstalk Playground,"1400000US36005024501,",['1400000US36005024501'],1574,24864.0
23,Grand Central Parkway Extension,"1400000US36081038302,1400000US36081031700,1400000US36081030904,1400000US36081038100,1400000US36081037300,1400000US36081033100,1400000US36081021600,1400000US36081039900,1400000US36081035700,1400000US36081043701,1400000US36081013700,1400000US36081037100,","['1400000US36081038302', '1400000US36081031700', '1400000US36081030904', '1400000US36081038100', '1400000US36081037300', '1400000US36081033100', '1400000US36081021600', '1400000US36081039900', '1400000US36081035700', '1400000US36081043701', '1400000US36081013700', '1400000US36081037100']",12447,53344.3
24,Horseshoe Playground,"1400000US36005013100,",['1400000US36005013100'],1561,25271.0
25,Forest Grove,"1400000US36085032300,",['1400000US36085032300'],495,56406.0
26,Manley's Pl,"1400000US36047119200,",['1400000US36047119200'],1014,43182.0
27,Myrtle Avenue Clemens Triangle,"1400000US36081055100,",['1400000US36081055100'],1657,45179.0
28,Louis Pl Friends,"1400000US36047030100,",['1400000US36047030100'],986,44911.0
29,P.S. 3,"1400000US36085019800,1400000US36005037504,","['1400000US36085019800', '1400000US36005037504']",3449,53166.0
30,Simeone Park,"1400000US36081044301,",['1400000US36081044301'],1341,20273.0
31,P.S. 7,"1400000US36005028700,",['1400000US36005028700'],1134,51692.0
32,P.S. 6,"1400000US36085024401,",['1400000US36085024401'],2123,76787.0
33,Washington's Walk,"1400000US36005026702,",['1400000US36005026702'],2417,39432.0
34,P.S. 4,"1400000US36085017010,",['1400000US36085017010'],3075,90747.0
35,Studley Triangle,"1400000US36081117100,",['1400000US36081117100'],964,40508.0
36,Rockaway Freeway /kohlridir Sq,"1400000US36081099200,",['1400000US36081099200'],1297,39271.0
37,P.s. 241 - Manhattan,"1400000US36061021600,",['1400000US36061021600'],3343,46250.0
38,John Allen Payne Park,"1400000US36047002200,",['1400000US36047002200'],1658,36563.0
39,Inwood Park,"1400000US36005022702,",['1400000US36005022702'],646,23500.0
40,Wakefield Playground,"1400000US36005041400,",['1400000US36005041400'],1571,53750.0
41,Staten Island Industrial Park,"1400000US36085029102,1400000US36085029104,1400000US36085029103,","['1400000US36085029102', '1400000US36085029104', '1400000US36085029103']",5909,82560.3333333
42,Lt. Wm. Tighe Triangle,"1400000US36061028700,",['1400000US36061028700'],1604,46891.0
43,Crotona Parkway Malls,"1400000US36005036300,1400000US36005035900,1400000US36005016100,1400000US36005033400,","['1400000US36005036300', '1400000US36005035900', '1400000US36005016100', '1400000US36005033400']",5583,24738.75
44,United Community Centers Youth Farm,"1400000US36047091600,",['1400000US36047091600'],1669,31105.0
45,P.s. 6 - Staten Island,"1400000US36085024401,",['1400000US36085024401'],2123,76787.0
46,Claremont Park,"1400000US36005017100,1400000US36005022902,","['1400000US36005017100', '1400000US36005022902']",1092,24142.0
47,Harlem RBI,"1400000US36061016400,",['1400000US36061016400'],2602,33493.0
48,Thomas Jefferson Park,"1400000US36061017800,1400000US36061016200,","['1400000US36061017800', '1400000US36061016200']",5517,27236.5
49,Chelsea Park,"1400000US36061009700,",['1400000US36061009700'],2713,43948.0
50,I.S. 391,"1400000US36005037900,",['1400000US36005037900'],1527,27841.0
51,Sunflower Garden,"1400000US36005002701,",['1400000US36005002701'],1102,20153.0
52,Barretto Point Park,"1400000US36005009300,",['1400000US36005009300'],1676,30159.0
53,Cough Triangle,"1400000US36047006500,",['1400000US36047006500'],2393,109492.0
54,All People's Church Of The Apostolic Faith,"1400000US36047025901,",['1400000US36047025901'],631,41289.0
55,Freshkills Park,"1400000US36085022800,1400000US36085029102,1400000US36085029103,","['1400000US36085022800', '1400000US36085029102', '1400000US36085029103']",3593,79085.0
56,United We Stand Garden,"1400000US36005002701,",['1400000US36005002701'],1102,20153.0
57,Bellerose Playground,"1400000US36081157101,",['1400000US36081157101'],2480,82004.0
58,Wood Park,"1400000US36005021601,",['1400000US36005021601'],1586,25847.0
59,Georgia Ave Garden,"1400000US36047112800,",['1400000US36047112800'],1394,34028.0
60,United Block Association Garden,"1400000US36061020800,",['1400000US36061020800'],2077,42220.0
61,Wagner Houses Pool,"1400000US36061024200,",['1400000US36061024200'],1471,18275.0
62,Open Road Park,"1400000US36061003400,",['1400000US36061003400'],3791,67166.0
63,Jes Good Rewards Childeren's Garden,"1400000US36047090200,",['1400000US36047090200'],881,42734.0
64,Baisley Pond Park,"1400000US36081028800,1400000US36081029400,","['1400000US36081028800', '1400000US36081029400']",3648,62631.5
65,St. George Park,"1400000US36085000700,",['1400000US36085000700'],2272,43855.0
66,Marie Curie Park,"1400000US36081144700,",['1400000US36081144700'],944,76500.0
67,Bennett Park,"1400000US36061027300,",['1400000US36061027300'],3219,74621.0
68,Triangle 90,"1400000US36081027100,",['1400000US36081027100'],2783,51276.0
69,Jennifer's Playground,"1400000US36085030301,",['1400000US36085030301'],1826,65606.0
70,Soundview Park,"1400000US36005002400,1400000US36005000200,1400000US36005000400,1400000US36005002000,","['1400000US36005002400', '1400000US36005000200', '1400000US36005000400', '1400000US36005002000']",6283,54985.3333333
71,Grace Playground,"1400000US36047114400,",['1400000US36047114400'],772,26429.0
72,Hook Creek Wildlife Sanctury,"1400000US36081066400,",['1400000US36081066400'],2892,88162.0
73,P.S. 34,"1400000US36047057300,",['1400000US36047057300'],996,70878.0
74,P.S. 37,"1400000US36085014605,",['1400000US36085014605'],1398,91129.0
75,Paerdegat Park,"1400000US36047078200,",['1400000US36047078200'],1577,51975.0
76,P.S. 31,"1400000US36047056100,",['1400000US36047056100'],1478,80000.0
77,P.S. 30,"1400000US36085020100,",['1400000US36085020100'],1263,82350.0
78,P.S. 32,"1400000US36085014608,1400000US36085014605,","['1400000US36085014608', '1400000US36085014605']",2628,91199.5
79,P.S./I.S. 187,"1400000US36061027300,",['1400000US36061027300'],3219,74621.0
80,Thorpe Family Playground,"1400000US36005038302,",['1400000US36005038302'],1883,22917.0
81,Harlem Rose Garden,"1400000US36061020600,",['1400000US36061020600'],1364,39468.0
82,Ingram Woods,"1400000US36085018901,",['1400000US36085018901'],1988,62000.0
83,Bryan Park,"1400000US36005039901,",['1400000US36005039901'],1646,22747.0
84,Sedgwick Playground,"1400000US36005020501,",['1400000US36005020501'],2690,23160.0
85,Jackson-Forest Community Garden,"1400000US36005013500,",['1400000US36005013500'],1278,23279.0
86,Cooper Park,"1400000US36047044900,",['1400000US36047044900'],1123,33831.0
87,London Planetree Playground,"1400000US36081003400,",['1400000US36081003400'],640,74000.0
88,Wegener Park,"1400000US36085017012,",['1400000US36085017012'],1659,71123.0
89,Short Triangle,"1400000US36081001900,",['1400000US36081001900'],877,117788.0
90,Samuel N. Bennerson 2nd Playground,"1400000US36061015100,",['1400000US36061015100'],4164,67125.0
91,Kimlau Square,"1400000US36061002700,",['1400000US36061002700'],597,57171.0
92,Laurelton Playground,"1400000US36081063800,",['1400000US36081063800'],1033,104112.0
93,Bryant Hill Garden,"1400000US36005011502,",['1400000US36005011502'],1360,21765.0
94,La Isla Garden,"1400000US36005018900,",['1400000US36005018900'],2879,21180.0
95,Conch Playground,"1400000US36081097203,",['1400000US36081097203'],2234,20712.0
96,Fidelity Memorial Park (t),"1400000US36047059100,",['1400000US36047059100'],1784,76532.0
97,Lt. Federico Narvaez Tot Lot,"1400000US36047052000,",['1400000US36047052000'],1442,47130.0
98,Harlem Art Park,"1400000US36061019600,",['1400000US36061019600'],1576,19045.0
99,Bedame Sessa Triangle,"1400000US36047050100,",['1400000US36047050100'],1394,73919.0
100,Willets Point Playground,"1400000US36081101700,",['1400000US36081101700'],2464,69891.0
101,Shore Park and Parkway,"1400000US36047003400,1400000US36047005602,1400000US36047004400,1400000US36047005601,1400000US36047003000,1400000US36047004600,1400000US36047005400,1400000US36047003800,1400000US36047007000,1400000US36047005202,1400000US36047005201,1400000US36047016200,1400000US36047005000,1400000US36047002200,1400000US36047001800,","['1400000US36047003400', '1400000US36047005602', '1400000US36047004400', '1400000US36047005601', '1400000US36047003000', '1400000US36047004600', '1400000US36047005400', '1400000US36047003800', '1400000US36047007000', '1400000US36047005202', '1400000US36047005201', '1400000US36047016200', '1400000US36047005000', '1400000US36047002200', '1400000US36047001800']",15532,67982.4285714
102,Penn South Playground,"1400000US36061009300,",['1400000US36061009300'],5198,76058.0
103,Almeda Playground,"1400000US36081096400,",['1400000US36081096400'],1286,58320.0
104,Alfred E. Smith Playground,"1400000US36061002500,",['1400000US36061002500'],1986,16527.0
105,John Vincent Daniels Jr. Square,"1400000US36081025302,",['1400000US36081025302'],1079,56676.0
106,Eastern Parkway Extension,"1400000US36047036100,1400000US36047036900,1400000US36047036700,1400000US36047036300,1400000US36047036502,1400000US36047036501,1400000US36047040500,","['1400000US36047036100', '1400000US36047036900', '1400000US36047036700', '1400000US36047036300', '1400000US36047036502', '1400000US36047036501', '1400000US36047040500']",7080,35153.4285714
107,Floral Vineyard,"1400000US36047115000,",['1400000US36047115000'],908,40104.0
108,Owl's Head Park,"1400000US36047003400,",['1400000US36047003400'],1360,69848.0
109,Williamsbridge Square,"1400000US36005038000,1400000US36005037800,1400000US36005037400,","['1400000US36005038000', '1400000US36005037800', '1400000US36005037400']",4253,31701.6666667
110,Powell St Block Association,"1400000US36047092000,",['1400000US36047092000'],1196,32292.0
111,Joseph Rodman Drake Park,"1400000US36005009300,",['1400000US36005009300'],1676,30159.0
112,Worth Square,"1400000US36061005800,",['1400000US36061005800'],1993,157934.0
113,Mentone Playground,"1400000US36081068000,",['1400000US36081068000'],1476,93333.0
114,Grand Slope,"1400000US36081047900,",['1400000US36081047900'],1677,46956.0
115,Jackson Avenue Median,"1400000US36081001900,",['1400000US36081001900'],877,117788.0
116,Meucci Triangle,"1400000US36047040200,",['1400000US36047040200'],906,42000.0
117,Juniper Nor Playground Tennis,"1400000US36081066300,",['1400000US36081066300'],966,95854.0
118,Van Cortlandt's Trail,"1400000US36005028300,",['1400000US36005028300'],1281,24759.0
119,Hamilton Metz Field,"1400000US36047080600,",['1400000US36047080600'],1212,39194.0
120,Samuel Seabury Playground,"1400000US36061015801,",['1400000US36061015801'],2670,136750.0
121,Josephine Caminiti Playground,"1400000US36081041300,",['1400000US36081041300'],991,50745.0
122,Pink Playground,"1400000US36047121400,",['1400000US36047121400'],1601,19264.0
123,Boone Slope,"1400000US36005016100,",['1400000US36005016100'],1751,12467.0
124,Chester Playground,"1400000US36047092400,",['1400000US36047092400'],1102,37266.0
125,Tramway Plaza,"1400000US36061011000,",['1400000US36061011000'],4177,103797.0
126,Holcombe Rucker Park,"1400000US36061024302,",['1400000US36061024302'],2486,20371.0
127,Angelo Campanero Plgd,"1400000US36005036000,",['1400000US36005036000'],921,65938.0
128,Bicentennial Veterans Memorial Park,"1400000US36005013800,",['1400000US36005013800'],1212,79773.0
129,Washington Market Park,"1400000US36061003900,",['1400000US36061003900'],2528,135250.0
130,Ocean Parkway Malls,"1400000US36047048200,1400000US36047050400,1400000US36047037000,1400000US36047037401,1400000US36047049400,1400000US36047049000,1400000US36047039000,1400000US36047039400,1400000US36047041800,1400000US36047035400,1400000US36047035602,1400000US36047039200,1400000US36047036600,1400000US36047041402,1400000US36047046202,1400000US36047048400,1400000US36047045200,1400000US36047044400,1400000US36047044000,1400000US36047042200,1400000US36047046201,1400000US36047045800,1400000US36047044800,1400000US36047045000,1400000US36047043800,1400000US36047042000,1400000US36047036001,1400000US36047035200,1400000US36047036400,1400000US36047046000,1400000US36047041600,1400000US36047036200,1400000US36047044200,1400000US36047035601,","['1400000US36047048200', '1400000US36047050400', '1400000US36047037000', '1400000US36047037401', '1400000US36047049400', '1400000US36047049000', '1400000US36047039000', '1400000US36047039400', '1400000US36047041800', '1400000US36047035400', '1400000US36047035602', '1400000US36047039200', '1400000US36047036600', '1400000US36047041402', '1400000US36047046202', '1400000US36047048400', '1400000US36047045200', '1400000US36047044400', '1400000US36047044000', '1400000US36047042200', '1400000US36047046201', '1400000US36047045800', '1400000US36047044800', '1400000US36047045000', '1400000US36047043800', '1400000US36047042000', '1400000US36047036001', '1400000US36047035200', '1400000US36047036400', '1400000US36047046000', '1400000US36047041600', '1400000US36047036200', '1400000US36047044200', '1400000US36047035601']",40376,44191.3529412
131,Valentine Varian House,"1400000US36005042300,",['1400000US36005042300'],1454,31786.0
132,Baybridge Green,"1400000US36081099705,",['1400000US36081099705'],1044,71310.0
133,Nathan Weidenbaum Park,"1400000US36081024300,",['1400000US36081024300'],1831,62071.0
134,Captain John R Fischer Firefighter Michael C Fiore,"1400000US36085012100,",['1400000US36085012100'],1191,111629.0
135,Youth Village,"1400000US36005013500,",['1400000US36005013500'],1278,23279.0
136,Kelly Park,"1400000US36047055800,1400000US36047055600,","['1400000US36047055800', '1400000US36047055600']",2130,51649.5
137,Father Duffy Square,"1400000US36061012500,",['1400000US36061012500'],1472,150682.0
138,Marine Park,"1400000US36047066600,",['1400000US36047066600'],0,
139,Crotona Playground (11),"1400000US36005016300,",['1400000US36005016300'],0,
140,Vernon New Harvest,"1400000US36047025300,",['1400000US36047025300'],1131,43491.0
141,Renaissance Playground,"1400000US36061023200,",['1400000US36061023200'],3190,28800.0
142,Septuagesimo UNO,"1400000US36061015900,",['1400000US36061015900'],5309,117900.0
143,St. Nicholas - Olive St. Garden,"1400000US36047048100,",['1400000US36047048100'],1360,72717.0
144,Tottenville Shore Park,"1400000US36085024800,",['1400000US36085024800'],1663,76270.0
145,Kennedy King Playground,"1400000US36047088600,",['1400000US36047088600'],1815,45208.0
146,Robert Venable Park,"1400000US36047120000,",['1400000US36047120000'],606,32468.0
147,Nehemiah Park,"1400000US36047091800,",['1400000US36047091800'],1052,27500.0
148,Playground 52 LII,"1400000US36005008300,",['1400000US36005008300'],2143,19818.0
149,Lindower Park,"1400000US36047070201,",['1400000US36047070201'],2308,59655.0
150,Marlboro Playground,"1400000US36047038200,",['1400000US36047038200'],2094,17308.0
151,Nine Heroes Plaza,"1400000US36081026700,",['1400000US36081026700'],2140,48732.0
152,Brownsville Playground,"1400000US36047092200,",['1400000US36047092200'],1273,39485.0
153,Judge Angelo Graci Triangle,"1400000US36081004401,",['1400000US36081004401'],954,53333.0
154,Cunningham Park,"1400000US36081128300,1400000US36081129103,1400000US36081129102,","['1400000US36081128300', '1400000US36081129103', '1400000US36081129102']",3140,66735.3333333
155,Seven Gables Playground,"1400000US36081136700,",['1400000US36081136700'],2342,61681.0
156,Butterfly Gardens,"1400000US36047014900,",['1400000US36047014900'],2273,103378.0
157,St. Nicholas Park,"1400000US36061021703,1400000US36061021303,","['1400000US36061021703', '1400000US36061021303']",2192,37628.0
158,Lieutenant John H. Martinson Playground,"1400000US36085015602,",['1400000US36085015602'],1159,84063.0
159,Scarangella Park,"1400000US36047040200,",['1400000US36047040200'],906,42000.0
160,Gaeta Park,"1400000US36085025100,",['1400000US36085025100'],2047,95239.0
161,Playground Thirty Five XXXV,"1400000US36081015700,",['1400000US36081015700'],689,46632.0
162,Star Spangled Playground,"1400000US36047023500,",['1400000US36047023500'],1279,45406.0
163,P.s. 246 (poe Center) - Bronx,"1400000US36005040100,",['1400000US36005040100'],1542,33487.0
164,P.S. 101,"1400000US36081072300,",['1400000US36081072300'],712,124643.0
165,P.S. 103,"1400000US36005042000,",['1400000US36005042000'],1397,28125.0
166,Olmsted Triangle,"1400000US36005009200,",['1400000US36005009200'],1778,35227.0
167,Harvard Playground,"1400000US36081046800,",['1400000US36081046800'],1011,42089.0
168,I.S. 2,"1400000US36047080200,",['1400000US36047080200'],1876,41607.0
169,James A Young Memorial Park,"1400000US36005024000,",['1400000US36005024000'],1165,34705.0
170,I.S. 62,"1400000US36047049000,",['1400000US36047049000'],1997,35642.0
171,I.S. 61,"1400000US36081044302,",['1400000US36081044302'],1296,54569.0
172,McKinley Park,"1400000US36047013200,",['1400000US36047013200'],710,56167.0
173,Clove's Tail,"1400000US36085016901,",['1400000US36085016901'],1115,73272.0
174,Dry Dock Playground,"1400000US36061002800,",['1400000US36061002800'],3292,30056.0
175,Jesse Ownes Playground Pool,"1400000US36047029100,",['1400000US36047029100'],1053,35521.0
176,McCarren Park,"1400000US36047051500,1400000US36047051700,","['1400000US36047051500', '1400000US36047051700']",1833,98480.0
177,97th Street Block Association,"1400000US36081037500,",['1400000US36081037500'],900,45655.0
178,MacLaughlin Playground,"1400000US36005033500,",['1400000US36005033500'],738,86983.0
179,Newtown Barge Playground,"1400000US36047056300,",['1400000US36047056300'],2070,66591.0
180,P.S. 4 Paradise Garden,"1400000US36047115000,",['1400000US36047115000'],908,40104.0
181,Van Nest Park,"1400000US36005023600,",['1400000US36005023600'],637,40903.0
182,Nelson Rockefeller Playground,"1400000US36061031703,",['1400000US36061031703'],3957,182401.0
183,Franz Sigel Park,"1400000US36005006300,",['1400000US36005006300'],1834,32064.0
184,Rodney Park Center,"1400000US36047052700,",['1400000US36047052700'],2381,32022.0
185,Sgt. Joyce Kilmer Triangle,"1400000US36047055400,",['1400000US36047055400'],1535,51830.0
186,Wagner Playground,"1400000US36061019400,",['1400000US36061019400'],2486,27273.0
187,Brooklyn Bears Carlton Av Garden,"1400000US36047017900,",['1400000US36047017900'],1539,45947.0
188,Wave Hill,"1400000US36005030900,",['1400000US36005030900'],1317,87238.0
189,Frederick Johnson Playground,"1400000US36061023600,",['1400000US36061023600'],2968,36540.0
190,Rock Garden Park,"1400000US36005016100,",['1400000US36005016100'],1751,12467.0
191,Lowry Triangle,"1400000US36047020300,",['1400000US36047020300'],655,106250.0
192,Gouverneur Playground,"1400000US36005014702,",['1400000US36005014702'],1620,17782.0
193,Clawson Playground,"1400000US36085013204,",['1400000US36085013204'],1804,86429.0
194,South Brother Island,"1400000US36005001900,",['1400000US36005001900'],901,37936.0
195,Adam Clayton Powell Jr. Blvd. Malls,"1400000US36061023600,1400000US36061022400,1400000US36061023000,1400000US36061023200,1400000US36061023400,1400000US36061022800,1400000US36061022600,1400000US36061022200,1400000US36061022000,1400000US36061021800,","['1400000US36061023600', '1400000US36061022400', '1400000US36061023000', '1400000US36061023200', '1400000US36061023400', '1400000US36061022800', '1400000US36061022600', '1400000US36061022200', '1400000US36061022000', '1400000US36061021800']",25468,36262.4
196,Merriam Playground,"1400000US36005020100,",['1400000US36005020100'],1307,24160.0
197,The Amazing Garden,"1400000US36047005100,",['1400000US36047005100'],989,85563.0
198,P.S. 167,"1400000US36047035300,",['1400000US36047035300'],1928,39934.0
199,811 Family and Friends Garden,"1400000US36005006900,",['1400000US36005006900'],2668,19741.0
200,Hillside Park,"1400000US36081157902,1400000US36047000100,","['1400000US36081157902', '1400000US36047000100']",3251,83265.0
201,Petrosino Square,"1400000US36061004500,",['1400000US36061004500'],420,139079.0
202,Norelli-Hargreaves Playground,"1400000US36081020200,",['1400000US36081020200'],453,59044.0
203,Faber Pool and Park,"1400000US36085020700,",['1400000US36085020700'],1857,36287.0
204,Admiral Park,"1400000US36081147900,",['1400000US36081147900'],1725,82927.0
205,Corlears Hook Park,"1400000US36061000202,",['1400000US36061000202'],3496,29684.0
206,Moore Homestead Playground,"1400000US36081048100,",['1400000US36081048100'],2102,35654.0
207,MacArthur Park,"1400000US36061008603,",['1400000US36061008603'],2637,142304.0
208,Kaltenmeier Playground,"1400000US36085000800,",['1400000US36085000800'],2048,76524.0
209,Todd Memorial Square,"1400000US36047005300,",['1400000US36047005300'],937,72841.0
210,Walton Park,"1400000US36005024100,",['1400000US36005024100'],1803,23856.0
211,Crowley Playground,"1400000US36081049900,",['1400000US36081049900'],1548,57813.0
212,Maple Woods,"1400000US36085004000,",['1400000US36085004000'],4233,42148.0
213,Lincoln Terrace / Arthur S. Somers Park,"1400000US36047035700,",['1400000US36047035700'],962,21227.0
214,Major Mark Park,"1400000US36081046200,",['1400000US36081046200'],2095,47524.0
215,W 124th Street Community Garden,"1400000US36061020000,",['1400000US36061020000'],1340,66000.0
216,Madison Community Greenthumb,"1400000US36047037500,",['1400000US36047037500'],1137,45573.0
217,Siren Slope,"1400000US36005027700,",['1400000US36005027700'],1748,33095.0
218,P.S. 29,"1400000US36085014700,",['1400000US36085014700'],1384,82917.0
219,Newport Playground,"1400000US36047091800,",['1400000US36047091800'],1052,27500.0
220,P.S. 5,"1400000US36061029900,",['1400000US36061029900'],1464,23661.0
221,P.S. 22,"1400000US36085030302,",['1400000US36085030302'],1939,76542.0
222,Athens Square,"1400000US36081007100,",['1400000US36081007100'],1764,70407.0
223,P.S. 21,"1400000US36085021300,1400000US36047038100,","['1400000US36085021300', '1400000US36047038100']",3500,40053.5
224,P.S. 26,"1400000US36085029102,",['1400000US36085029102'],980,84559.0
225,P.S. 24,"1400000US36081120500,",['1400000US36081120500'],972,24583.0
226,Abe Lebewohl Park,"1400000US36061004000,",['1400000US36061004000'],4147,85338.0
227,Neighborhood Park,"1400000US36047016200,",['1400000US36047016200'],1125,71602.0
228,Cedar Grove Playground,"1400000US36081080900,",['1400000US36081080900'],2734,66000.0
229,Bowne Playground,"1400000US36081085500,",['1400000US36081085500'],2443,44422.0
230,Jerry and The Senior Gents,"1400000US36047115000,",['1400000US36047115000'],908,40104.0
231,Bunker Ponds Park,"1400000US36085017600,1400000US36085019800,","['1400000US36085017600', '1400000US36085019800']",3822,96593.0
232,Jackson Square,"1400000US36061007700,",['1400000US36061007700'],3517,127729.0
233,The Creative Little Garden,"1400000US36061003200,",['1400000US36061003200'],4471,71033.0
234,Van Dyke Playground,"1400000US36047091000,",['1400000US36047091000'],2433,10746.0
235,Fairmount Playground,"1400000US36005036502,",['1400000US36005036502'],663,19740.0
236,Jamaica Bay Park,"1400000US36081103201,1400000US36081107202,1400000US36081100801,1400000US36081071600,","['1400000US36081103201', '1400000US36081107202', '1400000US36081100801', '1400000US36081071600']",2588,58099.5
237,Plaza 67,"1400000US36081071306,1400000US36081071100,","['1400000US36081071306', '1400000US36081071100']",5567,62734.5
238,Mariner's Harbor Playground,"1400000US36085031901,",['1400000US36085031901'],1017,25064.0
239,P.s. 11 - Staten Island,"1400000US36085009602,",['1400000US36085009602'],1306,76212.0
240,Peter Chahales Park,"1400000US36081049500,",['1400000US36081049500'],499,60594.0
241,Roy Wilkins Recreation Center,"1400000US36081042600,1400000US36081043200,","['1400000US36081042600', '1400000US36081043200']",399,88750.0
242,Dream Street Park,"1400000US36061024200,",['1400000US36061024200'],1471,18275.0
243,Sutton Place Park,"1400000US36061010601,",['1400000US36061010601'],4450,125488.0
244,Crotona Pool,"1400000US36005016300,",['1400000US36005016300'],0,
245,CPL. Thompson Park,"1400000US36085013302,",['1400000US36085013302'],940,44861.0
246,Causa Festival Garden,"1400000US36047116000,",['1400000US36047116000'],869,26745.0
247,Terrace Playground,"1400000US36085004700,",['1400000US36085004700'],977,66528.0
248,Abe Lebewohl Triangle,"1400000US36061004000,",['1400000US36061004000'],4147,85338.0
249,Graniteville Quarry Park,"1400000US36085030302,",['1400000US36085030302'],1939,76542.0
250,Schomberg Academy Garden,"1400000US36005012901,",['1400000US36005012901'],1350,18269.0
251,Prophecy Garden,"1400000US36047113000,",['1400000US36047113000'],1394,29038.0
252,Barry Plaza,"1400000US36005016700,",['1400000US36005016700'],826,27222.0
253,Rockaway Community Park,"1400000US36081097203,",['1400000US36081097203'],2234,20712.0
254,Walt L Shemal Garden,"1400000US36047022100,",['1400000US36047022100'],1614,37140.0
255,W 87th Street Garden,"1400000US36061017300,",['1400000US36061017300'],4195,113750.0
256,Vietnam Veterans Plaza,"1400000US36061000900,",['1400000US36061000900'],758,147500.0
257,Paerdegat Basin Park,"1400000US36047099800,1400000US36047069602,1400000US36047069601,1400000US36047102800,1400000US36047070600,","['1400000US36047099800', '1400000US36047069602', '1400000US36047069601', '1400000US36047102800', '1400000US36047070600']",6475,72459.2
258,Jardin De La Familia,"1400000US36005016900,",['1400000US36005016900'],453,27697.0
259,Hoe Garden,"1400000US36005011900,",['1400000US36005011900'],1943,22097.0
260,Century Playground,"1400000US36047035602,",['1400000US36047035602'],2614,32348.0
261,Grand Ferry Park,"1400000US36047055100,1400000US36047055500,","['1400000US36047055100', '1400000US36047055500']",4902,85901.5
262,Federalist Triangle,"1400000US36081051100,",['1400000US36081051100'],763,70337.0
263,Earth People,"1400000US36061002602,",['1400000US36061002602'],2136,70037.0
264,Wingate Park,"1400000US36047081000,",['1400000US36047081000'],872,40698.0
265,Van Cortlandt,"1400000US36005043500,",['1400000US36005043500'],17,42750.0
266,Chiarantano Playground,"1400000US36047083600,",['1400000US36047083600'],755,58068.0
267,Vesuvio Playground,"1400000US36061004900,",['1400000US36061004900'],2454,97929.0
268,Red Shed Garden,"1400000US36047047700,",['1400000US36047047700'],1742,86932.0
269,Half-Nelson Playground,"1400000US36005021502,",['1400000US36005021502'],2109,18507.0
270,Washington Square Park,"1400000US36061006500,",['1400000US36061006500'],3041,97718.0
271,Court Square Park,"1400000US36081001900,",['1400000US36081001900'],877,117788.0
272,Irving Square Park,"1400000US36047043700,",['1400000US36047043700'],1710,42500.0
273,Carter G. Woodson Children's Park,"1400000US36047090800,",['1400000US36047090800'],1339,12863.0
274,Seth Low Playground,"1400000US36047043000,",['1400000US36047043000'],1285,34729.0
275,Ciccarone Park,"1400000US36005038900,",['1400000US36005038900'],1721,28240.0
276,Haven Avenue,"1400000US36061025500,1400000US36061026500,","['1400000US36061025500', '1400000US36061026500']",4826,55961.5
277,Railroad Park,"1400000US36005014100,1400000US36081033401,","['1400000US36005014100', '1400000US36081033401']",2931,50910.0
278,P.S. 209,"1400000US36047037000,1400000US36005038301,","['1400000US36047037000', '1400000US36005038301']",3038,46565.5
279,Astoria Park-zone 2,"1400000US36081009900,",['1400000US36081009900'],0,
280,Henry M. Jackson Playground,"1400000US36061000202,",['1400000US36061000202'],3496,29684.0
281,Flight 587 Memorial Park,"1400000US36081093800,1400000US36081093402,","['1400000US36081093800', '1400000US36081093402']",3792,66159.5
282,Bryant Triangle,"1400000US36005012701,",['1400000US36005012701'],760,18641.0
